,gene_id,value_1,y,scores
406,XLOC_000455,2.03669,1,-4.8588834
407,XLOC_000456,32.727,1,-3.9087284
408,XLOC_000457,0.970146,0,-6.055549
409,XLOC_000458,0.0481977,0,-6.970554
410,XLOC_000459,0.102471,0,-6.970554
411,XLOC_000460,8.71239,1,-5.146191
412,XLOC_000461,48.6022,1,-6.9211845
413,XLOC_000462,1.65636,1,-6.970554
414,XLOC_000463,27.6502,1,-2.9889638
415,XLOC_000464,0.0137091,0,-6.970554
416,XLOC_000465,0.0,0,-6.970554
417,XLOC_000466,0.0,0,-6.970554
418,XLOC_000467,0.0,0,-6.970554
419,XLOC_000468,13.0079,1,-2.6696863
420,XLOC_000469,0.0,0,-6.970554
421,XLOC_000470,5475.9,1,-6.970554
422,XLOC_000471,44.1261,1,-6.427661
423,XLOC_000472,0.0,0,-6.970554
424,XLOC_000474,0.00557245,0,-6.970554
425,XLOC_000475,0.0,0,-6.970554
426,XLOC_000476,67.483,1,-6.970554
427,XLOC_000477,4.35703,1,-5.0151167
428,XLOC_000478,13.2085,1,-1.8338186
429,XLOC_000480,0.0,0,-6.970554
430,XLOC_000482,6.21198,1,-4.3732724
431,XLOC_000484,5.27784,1,-5.278628
432,XLOC_000485,26.4901,1,-4.492019
433,XLOC_000486,0.0,0,-6.970554
434,XLOC_000487,46.4472,1,-2.673518
435,XLOC_000488,103.211,1,-2.673518
436,XLOC_000489,0.0170887,0,-6.65626
437,XLOC_000490,0.0,0,-6.970554
438,XLOC_000492,0.0,0,-6.970554
439,XLOC_000493,5.72192,1,-5.36039
440,XLOC_000494,0.920658,0,-4.794864
441,XLOC_000495,9.58579,1,-4.794864
442,XLOC_000496,24.0281,1,-4.0915785
443,XLOC_000497,0.0846917,0,-6.970554
444,XLOC_000498,0.0,0,-6.970554
445,XLOC_000499,0.0830178,0,-6.970554
446,XLOC_000500,6.56271,1,-6.970554
447,XLOC_000501,4.1697,1,-4.284948
448,XLOC_000502,0.0456051,0,-5.578006
449,XLOC_000503,0.0,0,-6.970554
450,XLOC_000504,18.2912,1,-3.3145194
451,XLOC_000505,0.175381,0,-3.3145194
452,XLOC_000506,0.647069,0,-3.3145194
453,XLOC_000507,0.115911,0,-6.970554
454,XLOC_000508,4.4787,1,-4.307539
455,XLOC_000509,0.0468583,0,-6.970554
456,XLOC_000510,0.0,0,-6.970554
457,XLOC_000511,0.0,0,-6.970554
458,XLOC_000513,17.3319,1,-3.2273662
459,XLOC_000514,60.2093,1,-1.5609056
460,XLOC_000515,0.0,0,-1.5609056
461,XLOC_000516,7.17645,1,-4.1549745
462,XLOC_000517,22.2375,1,-2.5704978
463,XLOC_000518,0.0,0,-6.970554
464,XLOC_000519,0.0423925,0,-6.970554
465,XLOC_000521,6.43881,1,-4.699368
466,XLOC_000522,0.10973,0,-5.8317523
467,XLOC_000523,26.8509,1,-6.356241
468,XLOC_000524,25.0313,1,-5.864713
469,XLOC_000525,5.90059,1,-5.87241
470,XLOC_000527,0.0,0,-6.970554
471,XLOC_000528,0.0400535,0,-6.970554
472,XLOC_000529,0.606088,0,-5.414656
473,XLOC_000530,0.0,0,-6.9367414
474,XLOC_000531,9.50549,1,-6.9367414
475,XLOC_000532,929.506,1,-4.0070753
476,XLOC_000533,0.0,0,-4.0070753
477,XLOC_000534,0.0,0,-4.0070753
478,XLOC_000535,16.0812,1,-0.6748729
479,XLOC_000536,4.01408,1,-4.010973
480,XLOC_000537,26.3733,1,-4.010973
481,XLOC_000538,18.9931,1,-1.9718246
482,XLOC_000539,12.0453,1,-0.9697282
483,XLOC_000540,0.0,0,-0.9697282
484,XLOC_000541,0.0,0,-0.9697282
485,XLOC_000543,64.152,1,-3.5523837
486,XLOC_000544,4.2384,1,-2.29356
487,XLOC_000546,17.2508,1,-3.1815505
488,XLOC_000548,6.17769,1,-2.025485
489,XLOC_000554,16.9595,1,-5.663178
490,XLOC_000555,0.0,0,-6.970554
491,XLOC_000556,0.00982372,0,-6.970554
492,XLOC_000557,16.6782,1,-3.3282385
493,XLOC_000558,9.18426,1,-6.0105147
494,XLOC_000559,46.546,1,-3.837703
495,XLOC_000560,8.25586,1,-0.7991962
496,XLOC_000561,21.0285,1,-2.5923226
497,XLOC_000562,0.0,0,-2.5923226
498,XLOC_000563,1.70305,1,-6.970554
499,XLOC_000564,0.0148986,0,-6.970554
500,XLOC_000565,0.0,0,-6.970554
501,XLOC_000566,9.27441,1,-2.8206878
502,XLOC_000567,2.8063,1,-2.4923825
503,XLOC_000568,0.0,0,-6.8476286
504,XLOC_000569,0.0,0,-6.970554
505,XLOC_000570,5.99405,1,-4.798499
506,XLOC_000571,0.0,0,-4.798499
507,XLOC_000572,0.0,0,-4.798499
508,XLOC_000573,0.0,0,-4.798499
509,XLOC_000577,15.6176,1,-3.0731592
510,XLOC_000578,0.0744665,0,-6.970554
511,XLOC_000580,0.0,0,-6.970554
512,XLOC_000581,1.06829,0,-6.6393623
513,XLOC_000582,18.9655,1,-4.458812
514,XLOC_000583,0.0,0,-6.970554
515,XLOC_000584,16.0867,1,-4.7893786
516,XLOC_000585,0.0,0,-6.153805
517,XLOC_000586,6.00249,1,-6.153805
518,XLOC_000587,16.2018,1,-6.306528
519,XLOC_000589,0.134779,0,-6.970554
520,XLOC_000590,80.984,1,-4.466691
521,XLOC_000591,2.49262,1,-6.822328
522,XLOC_000592,0.170266,0,-6.884992
523,XLOC_000593,1.08083,0,-5.688695
524,XLOC_000594,2.46103,1,-6.10935
525,XLOC_000595,0.0131354,0,-6.970554
526,XLOC_000596,26.6451,1,-6.970554
527,XLOC_000597,11.3212,1,-6.970554
528,XLOC_000598,12.1479,1,-6.439791
529,XLOC_000599,4.21561,1,-6.625408
530,XLOC_000600,0.522738,0,-6.625408
531,XLOC_000601,0.0,0,-6.970554
532,XLOC_000602,0.0412174,0,-6.970554
533,XLOC_000603,5.71592,1,-5.160829
534,XLOC_000604,32.1788,1,-4.7317667
535,XLOC_000605,9.01243,1,-6.7054825
536,XLOC_000606,0.0,0,-6.7054825
537,XLOC_000608,0.0,0,-6.970554
538,XLOC_000609,0.025931,0,-6.970554
539,XLOC_000610,0.628994,0,-6.8366814
540,XLOC_000611,9.50393,1,-3.9870296
541,XLOC_000612,0.223099,0,-5.5147185
542,XLOC_000613,0.0,0,-6.970554
543,XLOC_000615,0.0,0,-6.970554
544,XLOC_000616,22.0642,1,-5.436235
545,XLOC_000617,0.232211,0,-6.970554
546,XLOC_000619,0.0,0,-6.970554
547,XLOC_000620,0.373128,0,-6.6743116
548,XLOC_000621,0.140106,0,-4.814781
549,XLOC_000622,101.184,1,-4.814781
550,XLOC_000623,0.348552,0,-6.970554
551,XLOC_000624,0.0,0,-6.970554
552,XLOC_000625,30.096,1,-6.970554
553,XLOC_000626,9.87524,1,-5.9972363
554,XLOC_000630,3.24191,1,-3.2889154
555,XLOC_000631,0.229331,0,-6.970554
556,XLOC_000632,69.9618,1,-6.5148835
557,XLOC_000633,17.4969,1,-6.92961
558,XLOC_000634,0.0,0,-6.970554
559,XLOC_000636,0.40844,0,-3.5312467
560,XLOC_000637,1.8528,1,-3.5312467
561,XLOC_000639,4.54498,1,-2.593915
562,XLOC_000640,3.44411,1,-3.1269138
563,XLOC_000641,4.32961,1,-3.9605503
564,XLOC_000642,13.5853,1,1.4091704
565,XLOC_000643,3.20182,1,-6.080638
566,XLOC_000644,0.0,0,-6.970554
567,XLOC_000645,0.0,0,-6.970554
568,XLOC_000646,6.11547,1,-4.0496244
569,XLOC_000647,1.86054,1,-3.8213425
570,XLOC_000648,1.39825,1,-3.814952
571,XLOC_000649,242.145,1,-6.1977844
572,XLOC_000650,1.87644,1,-5.6400223
573,XLOC_000652,0.0,0,-6.970554
574,XLOC_000653,3.06707,1,-2.850046
575,XLOC_000654,0.0,0,-6.970554
576,XLOC_000655,8.52065,1,-4.2263975
577,XLOC_000656,0.0,0,-4.2263975
578,XLOC_000657,11.1026,1,-3.0953546
579,XLOC_000658,0.0244386,0,-4.823355
580,XLOC_000659,21.3658,1,-1.7072982
581,XLOC_000660,6.21838,1,-3.8498342
582,XLOC_000662,0.334225,0,-6.970554
583,XLOC_000663,0.0,0,-6.970554
584,XLOC_000664,0.0,0,-6.970554
585,XLOC_000668,0.00811696,0,-4.711967
586,XLOC_000669,1.07958,0,-4.711967
587,XLOC_000670,113.997,1,-6.970554
588,XLOC_000671,1.6711,1,-6.970554
589,XLOC_000681,0.5899,0,-6.3727283
590,XLOC_000682,0.287353,0,-6.970554
591,XLOC_000684,2.2831,1,-4.0349236
592,XLOC_000685,0.216617,0,-4.4282537
593,XLOC_000686,0.303486,0,-6.970554
594,XLOC_000687,24.3894,1,-2.1525097
595,XLOC_000688,0.052677,0,-6.8282247
596,XLOC_000689,29.3158,1,-4.9421964
597,XLOC_000690,13.276,1,-5.443674
598,XLOC_000691,0.0328706,0,-6.7054825
