gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,value
ENSG00000006114,21,0,21,28,0,2.426
ENSG00000006116,0,0,0,0,14,0.009
ENSG00000006118,0,0,0,0,15,0.177
ENSG00000006125,20,0,26,20,0,14.592
ENSG00000006128,0,0,0,0,21,0.184
ENSG00000006194,16,0,25,41,0,7.866
ENSG00000006210,32,0,22,46,0,14.918
ENSG00000006282,20,0,10,12,0,10.694
ENSG00000006283,0,0,7,0,17,0.006
ENSG00000006327,33,0,20,35,0,30.376
ENSG00000006377,0,0,0,0,92,0.0
ENSG00000006432,4,0,21,13,0,0.227
ENSG00000006451,28,0,25,21,0,12.946
ENSG00000006453,21,0,19,33,0,14.176
ENSG00000006459,20,0,34,49,0,4.61
ENSG00000006468,28,0,37,42,0,1.204
ENSG00000006530,13,0,18,9,0,3.505
ENSG00000006555,12,0,19,49,0,0.688
ENSG00000006576,30,0,36,27,0,2.272
ENSG00000006606,0,0,0,0,0,0.076
ENSG00000006607,32,0,28,70,0,2.716
ENSG00000006611,0,0,0,0,13,0.292
ENSG00000006625,4,0,0,5,0,15.147
ENSG00000006634,32,0,26,25,0,1.332
ENSG00000006638,0,0,12,77,0,5.423
ENSG00000006652,0,0,0,4,0,4.694
ENSG00000006659,0,0,0,0,6,0.0
ENSG00000006695,18,0,31,25,0,6.415
ENSG00000006704,0,0,16,25,0,1.58
ENSG00000006712,29,0,19,20,0,39.005
ENSG00000006715,0,0,5,0,0,6.189
ENSG00000006740,0,0,9,3,11,0.428
ENSG00000006744,25,0,22,18,0,10.048
ENSG00000006747,0,0,0,0,15,0.027
ENSG00000006756,8,0,19,26,0,34.776
ENSG00000006757,16,0,20,13,0,25.966
ENSG00000006788,0,0,0,0,16,0.004
ENSG00000006831,36,0,27,35,0,37.713
ENSG00000006837,51,0,44,37,0,3.847
ENSG00000007001,42,0,47,99,0,7.974
ENSG00000007038,0,0,0,0,0,0.222
ENSG00000007047,22,0,20,18,0,3.868
ENSG00000007062,0,6,12,4,16,0.936
ENSG00000007080,25,0,17,9,0,47.795
ENSG00000007129,15,0,19,63,0,0.228
ENSG00000007168,33,0,30,31,0,21.842
ENSG00000007171,3,0,0,9,0,0.045
ENSG00000007174,0,0,4,9,2,0.004
ENSG00000007202,37,0,39,40,0,7.459
ENSG00000007216,0,0,0,0,0,2.157
ENSG00000007237,0,1,3,0,14,0.74
ENSG00000007255,28,0,28,31,0,68.891
ENSG00000007264,0,0,0,0,0,1.379
ENSG00000007306,0,0,0,0,11,0.0
ENSG00000007312,0,0,0,13,0,4.496
ENSG00000007314,0,0,0,0,0,0.093
ENSG00000007341,37,0,31,50,0,2.409
ENSG00000007350,0,0,0,0,0,0.139
ENSG00000007372,0,0,5,0,99,0.013
ENSG00000007376,18,0,18,11,0,4.729
ENSG00000007384,40,0,28,74,0,1.417
ENSG00000007392,21,0,19,18,0,4.49
ENSG00000007402,0,0,0,0,11,0.207
ENSG00000007516,0,0,0,19,6,2.385
ENSG00000007520,22,0,20,9,0,44.073
ENSG00000007541,16,0,18,20,0,4.502
ENSG00000007545,36,0,51,50,0,1.445
ENSG00000007866,42,0,25,29,0,5.72
ENSG00000007908,4,0,23,33,0,1.032
ENSG00000007923,12,0,15,26,0,11.329
ENSG00000007933,35,0,53,85,0,211.762
ENSG00000007944,20,0,36,41,0,4.253
ENSG00000007952,0,0,0,0,14,0.0
ENSG00000007968,10,0,0,10,0,0.103
ENSG00000008018,44,0,43,27,0,140.305
ENSG00000008056,0,0,0,0,0,0.602
ENSG00000008083,41,0,47,76,0,2.102
ENSG00000008086,21,0,20,19,0,0.087
ENSG00000008118,0,0,0,0,11,0.434
ENSG00000008128,6,0,6,10,0,11.893
ENSG00000008130,40,0,53,84,0,20.06
ENSG00000008196,10,0,10,0,50,0.0
ENSG00000008197,0,0,0,0,17,0.0
ENSG00000008226,0,0,6,9,0,0.055
ENSG00000008256,10,0,20,10,0,1.657
ENSG00000008277,7,0,12,0,0,0.059
ENSG00000008282,27,0,25,26,0,41.578
ENSG00000008283,15,0,13,27,0,3.574
ENSG00000008294,47,0,39,62,0,10.093
ENSG00000008300,0,0,5,9,15,0.04
ENSG00000008311,20,0,32,19,0,20.562
ENSG00000008323,4,0,9,10,0,0.315
ENSG00000008324,16,0,17,13,0,32.406
ENSG00000008382,31,0,29,73,0,37.296
ENSG00000008394,40,0,52,80,0,233.567
ENSG00000008405,32,0,30,41,0,7.392
ENSG00000008438,0,0,0,8,0,1.286
ENSG00000008441,0,0,20,20,0,7.694
ENSG00000008513,54,0,45,59,0,31.111
ENSG00000008516,0,0,0,0,0,0.621
ENSG00000008517,34,0,34,51,0,149.422
ENSG00000008710,0,0,0,6,0,1.258
ENSG00000008735,0,0,0,0,15,0.219
ENSG00000008838,15,0,16,51,0,7.969
ENSG00000008853,0,0,0,0,0,1.778
ENSG00000008869,17,0,20,21,0,3.26
ENSG00000008952,35,0,29,38,0,95.428
ENSG00000009307,37,0,34,32,0,114.27
